"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Pennsylvania","42","2018","2018",2891,12807060,22.6,24.0
,"Pennsylvania","42","2019","2019",3073,12801989,24.0,25.4
,"Pennsylvania","42","2020","2020",3950,12783254,30.9,32.7
,"Pennsylvania","42","2021","2021",4138,12964056,31.9,33.3
,"Pennsylvania","42","2022","2022",4010,12972008,30.9,32.2
,"Pennsylvania","42","2023","2023",3633,12961683,28.0,28.8
,"Pennsylvania","42","2024 (provisional)","2024",2325,12961683,17.9,18.6
,"Pennsylvania","42","2025 (provisional and partial)","2025",486,12961683,3.7,3.9
"Total","Pennsylvania","42",,,24506,103213416,23.7,24.9
,"Rhode Island","44","2018","2018",268,1057315,25.3,26.0
,"Rhode Island","44","2019","2019",243,1059361,22.9,23.6
,"Rhode Island","44","2020","2020",333,1057125,31.5,32.3
,"Rhode Island","44","2021","2021",392,1095610,35.8,36.5
,"Rhode Island","44","2022","2022",346,1093734,31.6,31.9
,"Rhode Island","44","2023","2023",353,1095962,32.2,32.7
,"Rhode Island","44","2024 (provisional)","2024",228,1095962,20.8,20.8
,"Rhode Island","44","2025 (provisional and partial)","2025",48,1095962,4.4,4.1
"Total","Rhode Island","44",,,2211,8651031,25.6,25.9
,"South Carolina","45","2018","2018",858,5084127,16.9,17.5
,"South Carolina","45","2019","2019",883,5148714,17.1,18.0
,"South Carolina","45","2020","2020",1431,5218040,27.4,29.1
,"South Carolina","45","2021","2021",1752,5190705,33.8,35.7
,"South Carolina","45","2022","2022",1861,5282634,35.2,37.1
,"South Carolina","45","2023","2023",1761,5373555,32.8,34.2
,"South Carolina","45","2024 (provisional)","2024",1078,5373555,20.1,21.2
,"South Carolina","45","2025 (provisional and partial)","2025",212,5373555,3.9,4.0
"Total","South Carolina","45",,,9836,42044885,23.4,24.6
,"South Dakota","46","2018","2018",29,882235,3.3,3.6
,"South Dakota","46","2019","2019",39,884659,4.4,4.5
,"South Dakota","46","2020","2020",48,892717,5.4,6.1
,"South Dakota","46","2021","2021",47,895376,5.2,5.8
,"South Dakota","46","2022","2022",48,909824,5.3,5.7
,"South Dakota","46","2023","2023",48,919318,5.2,5.7
,"South Dakota","46","2024 (provisional)","2024",44,919318,4.8,5.5
,"South Dakota","46","2025 (provisional and partial)","2025",12,919318,Unreliable,Unreliable
"Total","South Dakota","46",,,315,7222765,4.4,4.8
,"Tennessee","47","2018","2018",1341,6770010,19.8,20.4
